subjNum;subjStartDate;subjStartTime;trialIndex;exptId;choicePos;vidPlayCounts;rt
8;2024-10-09;00:07:33;19;30;middle;{"vid1":40,"vid2":20,"vid3":20};637.872
6;2024-10-08;23:57:45;41;29;left;{"vid1":84,"vid2":42,"vid3":42};1306.593
9;2024-10-09;00:18:53;2;27;middle;{"vid1":6,"vid2":6,"vid3":6};101.77
8;2024-10-09;00:07:33;20;14;right;{"vid1":21,"vid2":21,"vid3":21};659.84
7;2024-10-09;00:08:22;22;12;middle;{"vid1":23,"vid2":23,"vid3":23};771.947
6;2024-10-08;23:57:45;42;30;right;{"vid1":43,"vid2":43,"vid3":43};1322.346
8;2024-10-09;00:07:33;21;36;left;{"vid1":22,"vid2":22,"vid3":22};685.889
7;2024-10-09;00:08:22;23;34;left;{"vid1":24,"vid2":24,"vid3":24};797.796
9;2024-10-09;00:18:53;3;31;middle;{"vid1":8,"vid2":4,"vid3":4};133.373
6;2024-10-08;23:57:45;43;5;right;{"vid1":44,"vid2":44,"vid3":44};1351.228
5;2024-10-08;23:56:06;39;18;right;{"vid1":80,"vid2":80,"vid3":80};1381.384
7;2024-10-09;00:08:22;24;43;middle;{"vid1":25,"vid2":25,"vid3":25};823.296
8;2024-10-09;00:07:33;22;19;middle;{"vid1":23,"vid2":23,"vid3":23};718.556
6;2024-10-08;23:57:45;44;44;right;{"vid1":45,"vid2":45,"vid3":45};1372.895
